oldcode,state,povrate60,mort_age59_related_postHS,mort_age59_injury_postHS,mort_age59_all_postHS,mort_age25plus_related_postHS,mort_age25plus_injuries_postHS,mort_age59_related_preHS,mort_wh_age59_related_postHS,mort_bl_age59_related_postHS,census1960_pop,census1960_pctsch1417,census1960_pctsch534,census1960_pctsch25plus,census1960_pop1417,census1960_pop534,census1960_pop25plus,census1960_pcturban,census1960_pctblack,census1990_pop,census1990_pop1824,census1990_pop2534,census1990_pop3554,census1990_pop55plus,census1990_pcturban,census1990_pctblack,census1990_percapinc
1001,1,52.95928,0,31.59558,44.23381,83.30093,97.73977,14.31844,0,0,18674,84.6,0.532445,26.2,1558,9231,9229,35.3,42.1,34222,0.0963415,0.1624101,0.2594238,0.1877447,0.58021156,0.19992987,11182
1002,1,41.67101,0,11.64873,23.29746,97.0559,103.6685,11.5002,0,0,50263,87.9,0.5760906,30.2,3917,23932,24550,26.4,21,98280,0.0834554,0.1483415,0.2547517,0.2544465,0,0.127940578,12275
1003,1,65.64565,4.108463,20.54232,36.97617,138.9055,138.2409,16.65556,0,7.889546,25058,88.2,0.6253658,20.2,2187,11961,12207,33.8,52,25417,0.0895857,0.1469095,0.2374002,0.2334658,0,0.441240115,9515
1004,1,56.27055,0,26.69336,46.71338,118.4464,139.9821,10.1626,0,0,14923,84,0.5528736,16.5,1269,6960,7194,0,30.8,16576,0.101472,0.1537162,0.2439069,0.2095801,0,0.210666023,8973
1005,1,45.62446,0,12.74413,28.67429,97.97237,101.5843,0,0,0,25414,82.7,0.5190638,19.2,2108,12091,13548,16.3,3.3,39248,0.0993426,0.1514982,0.2662556,0.2253618,0,0.014879739,10168
1006,1,71.88475,9.044044,63.30831,90.44044,167.0094,115.9788,0,0,11.87225,13636,83.3,0.6377352,21.6,1201,6429,6328,27.5,71.9,11042,0.080873,0.1535048,0.2246876,0.231027,0,0.721880094,6922
1007,1,63.27154,4.964997,14.89499,54.61496,166.631,158.5207,11.46263,0,9.960159,24637,88.3,0.5803685,20.5,2239,11777,12237,26.1,44.7,21892,0.0829527,0.1364425,0.2233693,0.256395,0,0.402064681,7903
1008,1,34.06308,3.057761,14.26955,29.55836,112.0951,98.59676,9.532888,2.60532,4.806306,96246,87.1,0.5207049,31.1,6789,49481,48062,55.5,18.7,116034,0.1253339,0.1602375,0.2480825,0.2160229,0.578770016,0.186583243,10704
1009,1,42.77838,2.755504,24.79954,46.84357,153.4128,129.0616,8.373106,5.010773,0,38929,81,0.5550046,23.2,2935,17344,20340,42.1,36.7,36876,0.0986007,0.1427758,0.2356004,0.263803,0,0.359258054,10000
1010,1,47.20592,12.55887,43.95604,81.63265,76.58115,118.2013,29.29115,14.22071,0,16886,81.9,0.4985529,20.6,1253,7947,8461,0,10.3,19543,0.1005987,0.1415341,0.2659776,0.2553344,0,0.06534309,9915
1011,1,52.22901,0,29.61098,40.71511,136.8477,141.64,24.86634,0,0,26213,84.4,0.5215125,18.7,2175,12086,13657,22.1,15.9,32458,0.0906402,0.1562327,0.2490295,0.2349806,0,0.112699489,9826
1012,1,62.10922,0,16.83407,50.50222,121.6386,137.7231,0,0,0,18140,85.9,0.5925639,18.7,1542,9037,8384,0,49.6,16018,0.0976402,0.1430266,0.2429142,0.2262455,0,0.441815458,9622
1013,1,58.46618,10.5578,35.19268,66.86609,137.6657,146.2698,0,0,20.52826,26738,84.1,0.5565723,24.4,2052,12568,12549,31.6,49.5,27240,0.1017254,0.1469163,0.2360132,0.2149045,0,0.428487518,9031
1014,1,49.76548,0,24.3843,24.3843,166.3432,140.9297,0,0,0,12852,83.7,0.5676848,19.4,1036,5533,6892,0,16.3,13252,0.097042,0.1438273,0.2422276,0.2673559,0,0.163447027,9533
1015,1,52.19971,0,18.25817,54.77451,99.21645,131.0166,0,0,0,11051,78,0.4743829,16.2,879,5348,5708,0,6.4,12730,0.1037706,0.1498822,0.2542812,0.2322074,0,0.047211312,9876
1016,1,50.68407,5.763689,14.40922,25.9366,87.10181,103.0146,4.900519,7.337296,0,30383,79.7,0.4948556,26.3,2301,15162,15509,51.4,20.7,40240,0.0967942,0.1602634,0.2605368,0.2246769,0,0.172614314,11286
1017,1,35.32662,0,23.58389,45.0238,106.2875,96.24923,0,0,0,46985,86.4,0.5289862,33.5,3467,22942,24111,57.1,19.3,51666,0.0941044,0.1508148,0.2613518,0.2519258,0.553323269,0.16633763,11425
1018,1,62.96134,0,27.36352,41.04529,139.325,141.4045,16.00256,0,0,18372,92.4,0.632311,18.7,1589,8412,8894,20.8,45.4,14054,0.0892273,0.1445852,0.2263413,0.2667568,0,0.421943931,7953
